SKELID	TILUDRONATE
ISONERIT	ISONIAZID
APO-FLUPHENAZINE	FLUPHENAZINE
DISTAQUAINE V	PENICILLIN V
VI-ALPHA	VITAMIN A
ACTIPROFEN	IBUPROFEN
STABINOL	CHLORPROPAMIDE
ANTIBIOTIC SM 7338	MEROPENEM
SEVOFLURAN	SEVOFLURANE
EMOPER	ISOSORBIDE DINITRATE
DE-RAT CONCENTRATE	ERGOCALCIFEROL
PANASOL	PREDNISONE
HEMOLIDIONE	PHENINDIONE
SOMNATROL	ESTAZOLAM
ASTONIN-H	FLUDROCORTISONE
BENZOPENICILLIN	PENICILLIN G
DIHYDRONORGUAIARETIC ACID	MASOPROCOL
ERGAMISOL	LEVAMISOLE
NARATRIPTAN	NARATRIPTAN
ENKORTON	PREDNISONE
MYCOPHENOLATE MOFETIL	MYCOPHENOLATE MOFETIL
DIMETHYLIMIPRAMINE	DESIPRAMINE
AZLOCILLIN SODIUM SALT	AZLOCILLIN
TORLAMICINA	ERYTHROMYCIN
SULFAPHENAZOL [INN-FRENCH]	SULFAPHENAZOLE
SELECTIN	PRAVASTATIN
REUMUNE	PHENYLBUTAZONE
MOEXIPRIL	MOEXIPRIL
ELTROMBOPAGUM	ELTROMBOPAG
4-BUTYL-2-(4-HYDROXYPHENYL)-1-PHENYL-3,5-DIOXOPYRAZOLIDINE	OXYPHENBUTAZONE
PARMOL	ACETAMINOPHEN
EVOXAC	CEVIMELINE
TEMSERIN	TIMOLOL
NOVO-DIFENAC SR	DICLOFENAC
L-GLUTAMATE	L-GLUTAMIC ACID
SULFISOXAZOLE	SULFISOXAZOLE
CLOBETASOLE PROPIONATE	CLOBETASOL
RETIN-11,12-T2-OL (9CI)	VITAMIN A
17-ETHINYL-3,17-OESTRADIOL	ETHINYL ESTRADIOL
CLARINEX	DESLORATADINE
TRIMETAPHANUM	TRIMETHAPHAN
FUROSIFAR	FUROSEMIDE
(S)-2-AMINO-5-GUANIDINOVALERIC ACID	L-ARGININE
YOBIR	ALPRENOLOL
ERYTHRO	ERYTHROMYCIN
BENDROFUMETHIAZIDE	BENDROFLUMETHIAZIDE
FLUOCINOLONI ACETONIDUM [INN-LATIN]	FLUOCINOLONE ACETONIDE
LIACTEMIN	DYPHYLLINE
NOVO-CHOLAMINE LIGHT	CHOLESTYRAMINE
NADOSTINE	NYSTATIN
FOSPHENYTOIN SODIUM	FOSPHENYTOIN
DICOUMARIN	DICUMAROL
BIFITERAL	LACTULOSE
BANAN	CEFPODOXIME
TRAPANAL	THIOPENTAL
SOLBUTAMOL	SALBUTAMOL
GUAIAMAR	GUAIFENESIN
TOCOPHEREX	LYMECYCLINE
SULFALAR	SULFISOXAZOLE
NARILET	IPRATROPIUM BROMIDE
NORMOC	BROMAZEPAM
NORMON	RANITIDINE
OMIRYL	SULPIRIDE
N(SUP 1)-2-PYRIDYLSULFANILAMIDE	SULFAPYRIDINE
MUSTARGEN	MECHLORETHAMINE
ALQUEN	RANITIDINE
CHLORPHENESIN	CHLORPHENESIN
PARA-DIEN	DIENESTROL
WORM-AWAY	PIPERAZINE
NICONAT	NIACIN
FARESTONE	TOREMIFENE
ZIFIN	AZITHROMYCIN
MEZLOCILLIN	MEZLOCILLIN
PHACETUR	PHENACEMIDE
DESOXYN	METHAMPHETAMINE
HYPOGLICIL	ACETOHEXAMIDE
PACINOL	PIPERAZINE
MEPENZOLON	MEPENZOLATE
AQUACHLORAL SUPPRETTES	CHLORAL HYDRATE
L-ASCORBIC ACID	VITAMIN C
HEAD	SELENIUM SULFIDE
CATAPRES	CLONIDINE
CLOBAMAX	CLOBAZAM
NAPROXEN SODIUM	NAPROXEN
METHITEST	METHYLTESTOSTERONE
LOTEN	ATENOLOL
LOTEM	IBUPROFEN
AUREOCICLIN	LYMECYCLINE
CFF	CAFFEINE
BRAIN NATRIURETIC PEPTIDE 32	NESIRITIDE
DEA NO. 2575	METHYPRYLON
QUIN-O-CREME	CLIOQUINOL
WIGRAINE	CAFFEINE
SULFAFURAZOL	SULFISOXAZOLE
ASPARAGINIC ACID	L-ASPARTIC ACID
BENZYLPENICILLIN G	PENICILLIN G
SEQUINAN	RISPERIDONE
VEPESID J	ETOPOSIDE
METAZOLO	METHIMAZOLE
CONSENSUS INTERFERON	INTERFERON ALFACON-1
ATHOPROPAZIN	ETHOPROPAZINE
UROLUCOSIL	SULFAMETHIZOLE
DERMASORB	DIMETHYL SULFOXIDE
MARCUPHEN	PHENPROCOUMON
AYERLUCIL	SULFAMETHIZOLE
HALOFANTRINUM [INN-LATIN]	HALOFANTRINE
GASTROPIDIL	MEPENZOLATE
ALCON EFRIN	PHENYLEPHRINE
PHENOPHTHALEIN	PHENOLPHTHALEIN
BRISTACICLIN	TETRACYCLINE
REMULAR-S	CHLORZOXAZONE
DIUPRES-250	RESERPINE
BMS-562247	APIXABAN
MAZEPTIL	THIOPROPERAZINE
PROGABIDUM [INN-LATIN]	PROGABIDE
SIMVASTATINUM [LATIN]	SIMVASTATIN
INGASTRI	FAMOTIDINE
ETHOPHYLLINE	AMINOPHYLLINE
GLYCERIN MONOGUAIACOL ETHER	GUAIFENESIN
PYRIDOXALDEHYDE	PYRIDOXAL
ACIDUM ACETYLSALICYLICUM	ACETYLSALICYLIC ACID
HEXADECADROL	DEXAMETHASONE
CORTISOLONUM	HYDROCORTISONE
ISOPHANE INSULIN	INSULIN, ISOPHANE
PROCYCLOMIN	DICYCLOMINE
FINEVIN	AZELAIC ACID
APLIDAL	LINDANE
NAPROXEN	NAPROXEN
METHYSERGID	METHYSERGIDE
LINAMIPHEN	NOMIFENSINE
OPHTORENIN	BUPRANOLOL
TRIFLUROPERIZINE	TRIFLUOPERAZINE
FLUCLOX	FLUCLOXACILLIN
THEOPHYLLINE AMINOACETATE	THEOPHYLLINE
NU-ZOPICLONE	ZOPICLONE
BROMAZINE HYDROCHLORIDE	BROMODIPHENHYDRAMINE
SIGNEF	HYDROCORTISONE
KUBACRON	TRICHLORMETHIAZIDE
MYLARAMINE	CHLORPHENIRAMINE
DIAQUONE	DANTRON
LEUCOMYCIN V, 3-ACETATE 4B-(3-METHYLBUTANOATE)	JOSAMYCIN
RADISEMIDE	FUROSEMIDE
DERM-AID	HYDROCORTISONE
FROBEN	FLURBIPROFEN
AMILORIDA [INN-SPANISH]	AMILORIDE
MICOCLORINA	CHLORAMPHENICOL
ENFUVIRTIDE	ENFUVIRTIDE
SOMOPHYLLIN-CRT	THEOPHYLLINE
FEMRING	ESTRADIOL
BELATACEPT	BELATACEPT
SULFABUTIN	BUSULFAN
ISOPTO-DEX	DEXAMETHASONE
SYNCOUMAR	ACENOCOUMAROL
ALAXAN	IBUPROFEN
FEDCOR	NIFEDIPINE
LANZ	LANSOPRAZOLE
DRAGANON	ANIRACETAM
VITAMIN B6 HYDROCHLORIDE	PYRIDOXAL
SPRAY-FORAL	NITROFURAZONE
FENEPROFEN CALCIUM SALT DIHYDRATE	FENOPROFEN
CETYLUREUM	PHENACEMIDE
THERADIAZINE	SULFADIAZINE
IBUPAIN	IBUPROFEN
URBANYL	CLOBAZAM
AZO-STANDARD	PHENAZOPYRIDINE
OXYBUPROCAINE HCL	OXYBUPROCAINE
123I-METAIODOBENZYLGUANIDINE	IOBENGUANE
GLYCERYL TRINITRATE	NITROGLYCERIN
AMPHEPRAMONE	DIETHYLPROPION
RETOLEN	ASTEMIZOLE
NEPTAL	ACEBUTOLOL
MYCIFRADIN-N	NEOMYCIN
KEFOLAN	CEPHALEXIN
TINACTIN	TOLNAFTATE
ANFEPRAMONA [INN-SPANISH]	DIETHYLPROPION
SYNAGIS	PALIVIZUMAB
ETHOSUXIMIDE	ETHOSUXIMIDE
SONEBON	NITRAZEPAM
WOJTAB	PREDNISONE
DIURENE	TRIAMTERENE
HSDB 3008 IAB	AMPHOTERICIN B
AMSINE	AMSACRINE
CALVISKEN	PINDOLOL
IMID3	LENALIDOMIDE
2'-DEXOYCOFORMYCIN	PENTOSTATIN
ALITRETINOIN	ALITRETINOIN
CEFOPERAZONUM [INN-LATIN]	CEFOPERAZONE
BICARBONATE OF SODA	SODIUM BICARBONATE
CEPHALEXIN HYDRATE	CEPHALEXIN
ARENDAL	ALENDRONATE
PROPHENAMINUM	ETHOPROPAZINE
GLYBENCLAMIDE	GLYBURIDE
MELOVINE	MELATONIN
APO-ZIDOVUDINE	ZIDOVUDINE
OXANID	OXAZEPAM
IMI 28	EPIRUBICIN
DACORTIN	PREDNISONE
GLYDIAZINAMIDE	GLIPIZIDE
NEOTEBEN	ISONIAZID
CHLOROAMBUCIL	CHLORAMBUCIL
IMINOUREA	GUANIDINE
ARTO-ESPASMOL	CYCLANDELATE
BECENUN	CARMUSTINE
TRIPHENIDYL	TRIHEXYPHENIDYL
PANERGON	PAPAVERINE
HSDB 817	RIBOFLAVIN
TRIPELENNAMIN	TRIPELENNAMINE
4-BUTYL-1-(4-HYDROXYPHENYL)-2-PHENYL-3,5-PYRAZOLIDINEDIONE	OXYPHENBUTAZONE
SORTIS	ATORVASTATIN
XENAZINE	TETRABENAZINE
OXICONAZOLE NITRATE	OXICONAZOLE
ABIRATERONE	ABIRATERONE
ROCHIPEL	ETHOPROPAZINE
SERVITHIAZID	HYDROCHLOROTHIAZIDE
HEXA-GERM	HEXACHLOROPHENE
ZILACTIN-L	LIDOCAINE
PRESCAL	ISRADIPINE
OCLUCID	SULFACETAMIDE
NASACORT HFA	TRIAMCINOLONE
PROSOM	ESTAZOLAM
VICTOZA	LIRAGLUTIDE
